ID de cita,Títol,Descripció,Data,Adreça,Districte,Categoria,Subcategoria,Assistents,Propostes,Intervencions,URL
4,Consells de barri del Gòtic ,"Treball de les propostes del Pla Municipal en el marc dels consell de barri.
",09/02/2016,"Carrer del Regomir, 3, 08002 Barcelona, Barcelona, Spain",Ciutat Vella,Bon govern,Participació ciutadana,79,25,30,https://decidim.barcelona/meetings/consells-de-barri-del-gotic
7,Consells de barri del Raval,"Treball de les propostes del Pla Municipal en el marc dels Consell de barri del Raval.
",11/02/2016,"Carrer de la Reina Amàlia, 31, 08001 Barcelona, Barcelona, Spain",Ciutat Vella,Bon govern,Participació ciutadana,99,13,99,https://decidim.barcelona/meetings/consells-de-barri-del-raval
40,Consell Salut de Districte d'Horta-Guinardó,Debatre i recollir les aportacions relatives a les línies d'actuació de salut al PAM-PAD 2016-2019,17/02/2016,"Ronda del Guinardó, 113-141, Barcelona, Espanya",Horta - Guinardó,Bon viure,Sanitat i salut,40,38,26,https://decidim.barcelona/meetings/consell-salut-de-districte-d-horta-guinardo
29,Diversitat funcional i autonomia personal	,Detecció de necessitats i recollida de propostes d'actuació per tal de poder dissenyar un programa d'activitats multidisciplinar adreçat a les persones amb diversitat funcional que ajudin a garantir la seva autonomia personal ,02/03/2016,"Carrer del Segre, 24, Barcelona, Espanya",Sant Andreu,Bon viure,Autonomia personal ,24,22,11,https://decidim.barcelona/meetings/diversitat-funcional-i-autonomia-personal
306,Comerç viu,"Proximitat, innovació i diversitat comercial.",07/03/2016,"La Rambla, 99, Barcelona, Espanya",Ciutat Vella,Economia plural,Desenvolupament i economia de proximitat,28,20,10,https://decidim.barcelona/meetings/comerc-viu
435,El consum conscient i transformador: El pla d'impuls del consum responsable.,,23/03/2016,"Gran Via de Les Corts Catalanes, 491, 08015 Barcelona, Barcelona, Espanya",Ciutat Vella,Economia plural,Desenvolupament i economia de proximitat,31,40,93,https://decidim.barcelona/meetings/el-consum-conscient-i-transformador-el-pla-d-impuls-del-consum-responsable
173,Innovació social en l'àmbit de la cultura	,Procés participatiu amb els treballadors i treballadores de cultura en el marc del Pla de Cultures ,17/03/2016,"Les Rambles, 99, Barcelona, Espanya",,Bon viure,Cultura,13,7,,https://decidim.barcelona/meetings/innovacio-social-en-l-ambit-de-la-cultura
92,Pensar l'espai públic amb perspectiva de gènere,Mapeig amb perspectiva de gènere de l'espai públic dels barris amb la voluntat de trobar les principals deficiències. Propostes de millora ,18/03/2016,"Plaça d'Orfila, 1, 08030 Barcelona, Barcelona, Espanya",Sant Andreu,Bon viure,Cicles de vida ,1,0,0,https://decidim.barcelona/meetings/pensar-l-espai-public-amb-perspectiva-de-genere
161,"Temps i persones, pactem la ciutat","L'organització del temps de treball i la reorganització horària, per a fer compatibles els usos socials dels  temps de les persones: personals, laboral, de cura, social i de participació  ",10/03/2016,"Centre Cívic Pati Llimona. Carrer del Regomir, 3, Barcelona, Espanya",,Economia plural,"Economia cooperativa, social i solidària",24,40,120,https://decidim.barcelona/meetings/l-organitzacio-del-temps-de-treball
114,Pacificació de la Meridiana,Ampliar i actualitzar estudi que es va fer en el seu moment sobre aforament i percepció de l'Avinguda Meridiana,06/04/2016,"Plaça dels Jardins d'Elx, 08027 Barcelona, Barcelona, Espanya",Sant Andreu,Transició ecològica,Mobilitat sostenible,36,18,36,https://decidim.barcelona/meetings/pacificacio-de-la-meridiana-dbe1a29d-48ae-444a-9074-9a5af971b77f
51,Grup de Treball del Consell Municipal de Benestar Social: Acció Comunitària,Validar i recollir les aportacions relatives a acció comunitària al PAM 2016-2019. Reunió de les entitats que són membres del grup de treball d'Acció Comunitària del  Consell Municipal de Benestar Social.,17/02/2016,"Carrer de València, 344, Barcelona, Espanya",,Bon viure,Justícia social,31,9,31,https://decidim.barcelona/meetings/grup-de-treball-del-consell-municipal-de-benestar-social-accio-comunitaria
6,Consells de barri del Casc Antic,"Treball de les propostes del Pla Municipal en el marc dels consell de barri.
",10/02/2016,"Carrer del Comerç, 36, 08003 Barcelona, Barcelona, Spain",Ciutat Vella,Transició ecològica,Energia i canvi climàtic,40,14,50,https://decidim.barcelona/meetings/consells-de-barri-del-casc-antic
42,Consell Salut de Districte de Ciutat Vella,Debatre i recollir les aportacions relatives a les línies d'actuació de salut al PAM-PAD 2016-2019,18/02/2016,"Plaça del Bonsuccés, 3, 08001 Barcelona, Barcelona, Espanya",Ciutat Vella,Bon viure,Sanitat i salut,20,42,43,https://decidim.barcelona/meetings/consell-salut-de-districte-de-ciutat-vella
48,Grup de Treball Consell Municipal de Benestar Social: Igualtat Oportunitats en la Infància,Debatre i recollir les aportacions relatives a les línies d'actuació per la infància al PAM 2016-2019. Reunió de les entitats d'aquest grup de treball del Consell de Benestar Social.,01/03/2016,"Carrer de València, 344, Barcelona, Espanya",,Bon viure,Justícia social,23,13,58,https://decidim.barcelona/meetings/grup-de-treball-consell-municipal-de-benestar-social-igualtat-oportunitats-en-la-infancia
556,Emergència habitacional a la Marina,,01/03/2016,"Passeig de la Zona Franca, 116, 08038 Barcelona, Barcelona, España",Sants Montjuïc,Bon viure,Habitatge,28,12,60,https://decidim.barcelona/meetings/emergencia-habitacional-a-la-marina
24,Gestió cívica a Sant Martí	,Debat sobre la posada en marxa de la nova normativa de gestió cívica dels casals de barri del districte,03/03/2016,"Plaça de Valentí Almirall, 1, Barcelona, Espanya",Sant Martí,Bon govern,Acció comunitària,13,15,41,https://decidim.barcelona/meetings/gestio-civica-i-casals-de-barri-a-sant-marti
512,Sessió de treball del PAM amb tècnics i tècniques municipals. Cicles de vida,La sessió  tenia per finalitat contrastar i enriquir la proposta inicial del PAM en l’àmbit dels Cicles de vida.,10/03/2016,"Carrer de València, 344, Barcelona, Espanya",,Bon viure,Cicles de vida ,23,18,26,https://decidim.barcelona/meetings/sessio-de-treball-del-pam-amb-tecnics-i-tecniques-municipals-cicles-de-vida
373,Ateneu de Fabricació,Acordar el programa funcional i elaborar criteris per l'especificitat de l'activitat a dur a terme.,17/03/2016,"Carrer de Siracusa, 53, Barcelona, Espanya",Gràcia,Economia plural,"Economia cooperativa, social i solidària",15,2,30,https://decidim.barcelona/meetings/ateneu-de-fabricacio-48e5c49b-f40f-407b-9074-a169f151711f
559,Consulta veinal Ciutat Meridiana,Proposta dels veins treballada des de la Taula d'Entitats de Ciutat Meridiana i l'Associació de veins de Ciutat Meridiana,20/02/2016,"08033, Carrer de Vallcivera, 14, 08033 Barcelona, Barcelona, Espanya",Nou Barris,Bon viure,Convivència i seguretat,1030,13,1030,https://decidim.barcelona/meetings/consulta-veinal-ciutat-meridiana
376,Cooperant fem les altres economies a Horta Guinardó,,04/04/2016,"Carrer de Pedrell, 67, 08032 Barcelona, Barcelona, Espanya",Horta - Guinardó,Economia plural,"Economia cooperativa, social i solidària",35,4,1,https://decidim.barcelona/meetings/cap-a-una-nova-economia
536,Consell de les Dones de Sant Martí ,,01/02/2016,"Carrer del Joncar, 35, 08005 Barcelona, Espanya",Sant Martí,Bon viure,Equitat de gènere i diversitat sexual,15,37,50,https://decidim.barcelona/meetings/consell-de-les-dones-de-sant-marti
511,Propostes de millora Horta Guinardó punts mòbils.,"Recollirem propostes de millora pel districte d'Horta Guinardó, per la zona del Carmel.",06/04/2016,carrer Dante Alighieri,Horta - Guinardó,Bon govern,Participació ciutadana,7,4,4,https://decidim.barcelona/meetings/propostes-de-millora-horta-guinardo-punts-mobils
168,Ocupació i empresa en el sector turístic	,"Grup de treball sobre els reptes del mercat de treball, les condicions laborals i les organitzacions empresarials del sector turístic per tal d'incidir en les possibilitats d'acció municipal al respecte.

Grup tancat.",31/03/2016,"Barcelona Activa S A, Carrer de Roc Boronat, Barcelona, Espanya",Sant Martí,Economia plural,Turisme sostenible,21,4,25,https://decidim.barcelona/meetings/ocupacio-i-empresa-en-el-sector-turistic
502,Consell Escolar del Districte Ciutat Vella,,30/03/2016,"Ciutat Vella, Barcelona, Barcelona, Espanya",Ciutat Vella,Bon viure,Educació i coneixement ,28,6,25,https://decidim.barcelona/meetings/consell-escolar-del-districte-ciutat-vella
