f,propuestas,votos,comentarios
Ciutat Vella---Buen gobierno---Acción comunitaria---ciudadano,2,16,0
Ciutat Vella---Buen gobierno---Acción comunitaria---encuentro,11,3,13
Ciutat Vella---Buen gobierno---Acción comunitaria---organización,12,56,3
Ciutat Vella---Buen gobierno---Administración inteligente e inclusiva---ciudadano,1,1,1
Ciutat Vella---Buen gobierno---Administración inteligente e inclusiva---oficial,2,30,0
Ciutat Vella---Buen gobierno---Administración inteligente e inclusiva---organización,1,4,0
Ciutat Vella---Buen gobierno---Eficiencia y profesionalidad---encuentro,1,4,0
Ciutat Vella---Buen gobierno---Gobierno transparente y rendición de cuentas---ciudadano,2,14,1
Ciutat Vella---Buen gobierno---Gobierno transparente y rendición de cuentas---encuentro,3,1,0
Ciutat Vella---Buen gobierno---Gobierno transparente y rendición de cuentas---oficial,1,46,2
Ciutat Vella---Buen gobierno---Gobierno transparente y rendición de cuentas---organización,3,26,3
Ciutat Vella---Buen gobierno---Participación ciudadana---ciudadano,2,0,2
Ciutat Vella---Buen gobierno---Participación ciudadana---encuentro,2,0,1
Ciutat Vella---Buen gobierno---Participación ciudadana---oficial,3,50,2
Ciutat Vella---Buen gobierno---Participación ciudadana---organización,8,61,8
Ciutat Vella---Economía plural---Desarrollo y economía de proximidad---ciudadano,9,246,6
Ciutat Vella---Economía plural---Desarrollo y economía de proximidad---encuentro,23,114,8
Ciutat Vella---Economía plural---Desarrollo y economía de proximidad---oficial,6,77,67
Ciutat Vella---Economía plural---Desarrollo y economía de proximidad---organización,28,149,7
Ciutat Vella---Economía plural---Economía cooperativa social y solidaria---ciudadano,1,58,0
Ciutat Vella---Economía plural---Economía cooperativa social y solidaria---encuentro,7,16,0
Ciutat Vella---Economía plural---Economía cooperativa social y solidaria---oficial,4,76,13
Ciutat Vella---Economía plural---Economía cooperativa social y solidaria---organización,3,34,0
Ciutat Vella---Economía plural---Empleo de calidad---ciudadano,1,1,0
Ciutat Vella---Economía plural---Empleo de calidad---encuentro,6,6,1
Ciutat Vella---Economía plural---Empleo de calidad---oficial,3,39,23
Ciutat Vella---Economía plural---Empleo de calidad---organización,20,82,6
Ciutat Vella---Economía plural---Turismo sostenible---ciudadano,12,508,37
Ciutat Vella---Economía plural---Turismo sostenible---encuentro,29,134,20
Ciutat Vella---Economía plural---Turismo sostenible---oficial,7,299,50
Ciutat Vella---Economía plural---Turismo sostenible---organización,15,383,5
Ciutat Vella---Economía plural---Un nuevo liderazgo público---encuentro,1,0,0
Ciutat Vella---Economía plural---Un nuevo liderazgo público---oficial,2,29,2
Ciutat Vella---Economía plural---Un nuevo liderazgo público---organización,1,4,0
Ciutat Vella---Transición ecológica---Energía y cambio climático---ciudadano,4,13,1
Ciutat Vella---Transición ecológica---Energía y cambio climático---encuentro,3,7,0
Ciutat Vella---Transición ecológica---Energía y cambio climático---oficial,2,74,1
Ciutat Vella---Transición ecológica---Energía y cambio climático---organización,11,171,11
Ciutat Vella---Transición ecológica---Medio ambiente y espacio público---ciudadano,22,291,27
Ciutat Vella---Transición ecológica---Medio ambiente y espacio público---encuentro,69,269,47
Ciutat Vella---Transición ecológica---Medio ambiente y espacio público---oficial,9,352,70
Ciutat Vella---Transición ecológica---Medio ambiente y espacio público---organización,31,425,16
Ciutat Vella---Transición ecológica---Movilidad sostenible---ciudadano,21,241,56
Ciutat Vella---Transición ecológica---Movilidad sostenible---encuentro,32,124,46
Ciutat Vella---Transición ecológica---Movilidad sostenible---oficial,4,308,25
Ciutat Vella---Transición ecológica---Movilidad sostenible---organización,18,149,17
Ciutat Vella---Transición ecológica---Urbanismo para los barrios---ciudadano,16,253,32
Ciutat Vella---Transición ecológica---Urbanismo para los barrios---encuentro,19,40,17
Ciutat Vella---Transición ecológica---Urbanismo para los barrios---oficial,6,91,10
Ciutat Vella---Transición ecológica---Urbanismo para los barrios---organización,19,137,17
Ciutat Vella---Transición ecológica---Verde urbano y biodiversidad---ciudadano,7,417,20
Ciutat Vella---Transición ecológica---Verde urbano y biodiversidad---encuentro,5,28,1
Ciutat Vella---Transición ecológica---Verde urbano y biodiversidad---oficial,1,28,1
Ciutat Vella---Transición ecológica---Verde urbano y biodiversidad---organización,5,33,5
Ciutat Vella---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---encuentro,19,74,13
Ciutat Vella---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---oficial,3,33,9
