f,propostes,vots,comentaris
Ciutat,4536,73818,9107
Ciutat---Bon govern,448,5953,672
Ciutat---Bon govern---Acció comunitària,126,1070,175
Ciutat---Bon govern---Acció comunitària---ciutadà,31,416,67
Ciutat---Bon govern---Acció comunitària---trobada,56,134,41
Ciutat---Bon govern---Acció comunitària---oficial,7,129,33
Ciutat---Bon govern---Acció comunitària---organització,32,391,34
Ciutat---Bon govern---Administració intel·ligent i inclusiva,93,1521,137
Ciutat---Bon govern---Administració intel·ligent i inclusiva---ciutadà,25,1091,91
Ciutat---Bon govern---Administració intel·ligent i inclusiva---trobada,50,144,18
Ciutat---Bon govern---Administració intel·ligent i inclusiva---oficial,8,144,19
Ciutat---Bon govern---Administració intel·ligent i inclusiva---organització,10,142,9
Ciutat---Bon govern---Eficiència i professionalitat,26,110,23
Ciutat---Bon govern---Eficiència i professionalitat---ciutadà,4,47,1
Ciutat---Bon govern---Eficiència i professionalitat---trobada,15,5,6
Ciutat---Bon govern---Eficiència i professionalitat---oficial,3,32,14
Ciutat---Bon govern---Eficiència i professionalitat---organització,4,26,2
Ciutat---Bon govern---Govern transparent i rendició de comptes,91,1927,141
Ciutat---Bon govern---Govern transparent i rendició de comptes---ciutadà,42,1391,81
Ciutat---Bon govern---Govern transparent i rendició de comptes---trobada,17,28,17
Ciutat---Bon govern---Govern transparent i rendició de comptes---oficial,8,304,4
Ciutat---Bon govern---Govern transparent i rendició de comptes---organització,24,204,39
Ciutat---Bon govern---Participació ciutadana,112,1325,196
Ciutat---Bon govern---Participació ciutadana---ciutadà,37,542,88
Ciutat---Bon govern---Participació ciutadana---trobada,37,54,34
Ciutat---Bon govern---Participació ciutadana---oficial,15,595,44
Ciutat---Bon govern---Participació ciutadana---organització,23,134,30
Ciutat---Bon viure,2237,26617,3775
Ciutat---Bon viure---Autonomia personal i reconeixement de les cures,216,2059,310
Ciutat---Bon viure---Autonomia personal i reconeixement de les cures---ciutadà,53,1082,100
Ciutat---Bon viure---Autonomia personal i reconeixement de les cures---trobada,132,516,68
Ciutat---Bon viure---Autonomia personal i reconeixement de les cures---oficial,8,170,102
Ciutat---Bon viure---Autonomia personal i reconeixement de les cures---organització,23,291,40
Ciutat---Bon viure---Cicles de vida,155,2262,221
Ciutat---Bon viure---Cicles de vida---ciutadà,38,1247,69
Ciutat---Bon viure---Cicles de vida---trobada,80,221,60
Ciutat---Bon viure---Cicles de vida---oficial,12,201,53
Ciutat---Bon viure---Cicles de vida---organització,25,593,39
Ciutat---Bon viure---Convivència i seguretat,203,2881,650
