ID,Districte,Categoria,Subcategoria,Títol,Descripció,Propostes,Suports,Comentaris,Participants,Intervencions,URL
6508,Nou Barris,Bon govern,Participació ciutadana,Desenvolupament de processos de participació específics al districte,"<div>Revisió del pla d’equipament, finalització procés de plaça Sóller, Plans d’intervenció del pla de barris, Pla de futur de Can Peguera, disseny i definició del futur equipament de Ideal Flor, superilles i altres</div>",4,35,2,30,0,https://decidim.barcelona/action_plans/6508
3359,Ciutat Vella,Transició ecològica,Mobilitat sostenible,Millorar els camins escolars,"<div>Millorar els camins escolars i els que recorren a peu els infants per incloure-hi senyals, revisar-ne les prioritats de pas, millorar-ne la il·luminació i valorar l'aplicació de mesures com la reducció de velocitat, la instal·lació de bandes per disminuir la velocitat o la modificació de passos zebra. </div>",2,37,0,0,0,https://decidim.barcelona/action_plans/3359
2710,Sarrià - Sant Gervasi,Transició ecològica,Urbanisme per als barris,Revisió del pla parcial de Les Planes,<div>Revisió del pla Parcial de Les Planes.</div>,1,0,0,4,0,https://decidim.barcelona/action_plans/2710
3273,Ciutat Vella,Bon viure,Educació i coneixement ,Promoure programes educatius al llarg del cicle vital,"<div>Promoure programes educatius al llarg del cicle vital per fer de l'educació un factor clau de benestar i èxit. </div><div>Fer un mapa de recursos d'educació formal i no formal per a adults. </div><div>Impulsar l'Escola d'adults, els grups de lectoescriptura de la Barceloneta, la coordinació i la creació d'espais de trobada entre espais d'aprenentatge, etc. </div>",3,15,3,137,0,https://decidim.barcelona/action_plans/3273
2740,Ciutat Vella,Transició ecològica,Medi ambient i espai públic,Condicionar parcs i places ,"<div>Condicionar parcs i places, valorant la incorporació de més fonts i de mobiliari que afavoreixi la relació entre veïns en places com, per exemple, la plaça de George Orwell, la plaça de la Mercè, la plaça de Ramon Berenguer el Gran, el Parc de la Catalana, la plaça de Sant Miquel, etc.</div><div>Habilitar més espais de joc per a infants o ampliar les àrees existents en espais com la rambla del Raval, la plaça de Salvador Seguí, la plaça d'Hilari Salvadó, la plaça de Sant Miquel o a la plaça dels Àngels.</div>",12,166,20,88,0,https://decidim.barcelona/action_plans/2740
2979,Horta - Guinardó,Transició ecològica,Urbanisme per als barris,Intervencions urbanístiques a La Font d'en Fargues,"<div>Prioritzar la realització d'actuacions de millora de l’espai públic als carrers i les places del barri de la Font d'en Fargues facilitant l'ús i gaudi per part de la ciutadania, partir de la feina feta amb anterioritat i comptant amb la participació veïnal. Atenció especial als carrers amb més desnivell, com Davallada de Gallecs, i els més malmesos. Recuperar espais sense usos com el parterre del C/Torrent del Carmel.</div>",6,207,3,0,0,https://decidim.barcelona/action_plans/2979
4790,Gràcia,Bon viure,Educació i coneixement ,Projecte constructiu de l'Institut Vallcarca,<div>Elaborar el projecte del nou Institut Vallcarca per tal d'evitar l'escolarització d'alumnat fora del districte. Cohesionar un projecte pedagògic de 0 a 18 anys a la zona.</div><div>Valorar l'ús provisional del solar.</div>,9,605,60,161,0,https://decidim.barcelona/action_plans/4790
6410,Sarrià - Sant Gervasi,Bon viure,Esports,Circuits esportius al barri del Rectoret,<div>Instal·lacio d'aparells de gimnàstica per totes les edats</div>,0,0,0,0,0,https://decidim.barcelona/action_plans/6410
3536,Sant Martí,Transició ecològica,Mobilitat sostenible,Connexió Rambla Prim amb el mar,<div>Elaboració d'un projecte per repensar i millorar l'enllaç del final de la Rambla Prim amb la Diagonal i facilitar l'accés dels vianants cap al mar des del passeig del barri de Besòs-Maresme. </div>,2,4,0,85,0,https://decidim.barcelona/action_plans/3536
2727,Horta - Guinardó,Transició ecològica,Medi ambient i espai públic,"Millorar el mobiliari urbà incrementant el número de papereres, bancs i altres elements","<div>Incrementar el nombre de bancs, papereres i altres elements de mobiliari urbà al districte d'Horta-Guinardó per millorar la qualitat de la via pública dels nostres carrers.</div>",5,12,4,11,0,https://decidim.barcelona/action_plans/2727
